Hydrology;Ects;Spatial Planning;Ects;Business Administration;Ects;Natural Hazards;Ects;Methods;Ects
Hydrologie I+II;3;Probleme der Raumentwicklung: Beiträge der Political Ecology;3;Einführung in das Management;3;Geomorphologische Feldaufnahmen;3;Geoprocessing I-III;10
Seminar Hydrologie;5;Forum Nachhaltigkeit - Wälder als sozial-ökologische Systeme;2;Finanzielles Rechnungswesen I - Grundlagen;3;Allgemeine Bodenkunde;3;Field Measurement Techniques for Geomorphology;2
Grundzüge Erdwissenschaften I+II;6;Urban and Regional Development Theories;6;Personal und Organisation;6;Grundzüge Erdwissenschaften I+II;6;Remote Sensing for Environmental Management;3
Meteorologie I+II;6;Proseminar Bodenkunde;5;Grundlagen des Markenmanagements;4,5;Seminar Hydrologie;5;Geosensorik der Umwelt;4
Klimatologie III;3;Allgemeine Bodenkunde;3;Erfolgreich vernetzt führen - Neue Medien in der Personalführung (E-Leadership);4,5;Bachelorarbeit: Wasserretention von Schnee - Die Erkenntnisse eines Feldversuchs;10;Data science and network theory;2
Bachelorarbeit: Wasserretention von Schnee - Die Erkenntnisse eines Feldversuchs;10;Geoprocessing I-III;10;Personalmanagement;6;Geoprocessing I-III;10;Labormethoden;3
Hydrological field measurements;6;;;Management von Familienunternehmen;3;Field Measurement Techniques for Geomorphology;2;Bachelorarbeit: Wasserretention von Schnee - Die Erkenntnisse eines Feldversuchs;10
Proseminar Bodenkunde;5;;;International Marketing;4,5;Remote Sensing for Environmental Management;3;Masterarbeit: Abflussmodellierung eines vergletscherten Einzugsgebietes;30
Allgemeine Bodenkunde;3;;;;;Geosensorik der Umwelt;4;;
Geomorphologische Feldaufnahmen;3;;;;;Landschaftsökologie;3;;
Geoprocessing I-III;10;;;;;Masterarbeit: Abflussmodellierung eines vergletscherten Einzugsgebietes;30;;
Field Measurement Techniques for Geomorphology;2;;;;;;;;
Remote Sensing for Environmental Management;3;;;;;;;;
Geosensorik der Umwelt;4;;;;;;;;
Masterarbeit: Abflussmodellierung eines vergletscherten Einzugsgebietes;30;;;;;;;;
Data science and network theory;2;;;;;;;;
Landschaftsökologie;3;;;;;;;;
